연월,합계,전년동월비
18.01,9027008,23.48039027
18.02,8207296,14.80583797
18.03,9375766,21.02430215
18.04,9034274,22.40245123
18.05,9363224,22.84924175
18.06,8965075,19.29367822
18.07,9653420,22.21756033
18.08,9270381,17.94891075
18.09,9137279,12.09813151
18.1,10016442,30.7321959
18.11,10574144,17.52995284
18.12,10689701,20.19479748
19.01,10811796,19.77164527
19.02,9666871,17.78387181
19.03,11296239,20.48337171
19.04,10763785,19.14388472
19.05,11374817,21.48397817
19.06,10725166,19.63275265
19.07,11302975,17.08777822
19.08,11418155,23.16813085
19.09,11397646,24.73785686
19.1,12008033,19.88321801
19.11,12991605,22.86200188
19.12,12843750,20.15069458
20.01,12308866,13.84663566
20.02,11945935,23.57602579
20.03,12575341,11.32325547
20.04,12053828,11.98503129
20.05,12748344,12.0751569
20.06,12678358,18.21129855
20.07,12966841,14.72060232
20.08,13496390,18.20114546
20.09,13857627,21.58323745
20.1,13884207,15.62432415
20.11,15031417,15.70100076
20.12,15891202,23.72712019
21.01,15069277,22.42620076
21.02,13731594,14.9478379
21.03,15890798,26.36474828
